"No.","Time","Source","Destination","Protocol","Length","Info"
"141","259.825605","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 216, returned sequence 203"
"142","260.268929","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 204, returned sequence 216"
"143","260.798512","10.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"144","261.187471","10.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"145","269.829170","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 217, returned sequence 204"
"146","270.208155","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 205, returned sequence 217"
"147","270.793102","10.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"148","271.199524","10.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"149","275.389652","N/A","N/A","CDP","322","Device ID: R2  Port ID: Serial2/0  "
"150","279.829809","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 218, returned sequence 205"
"151","280.220006","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 206, returned sequence 218"
"152","280.795010","10.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"153","281.201609","10.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"154","284.831451","N/A","N/A","CDP","322","Device ID: R1  Port ID: Serial2/0  "
"155","289.832429","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 219, returned sequence 206"
"156","290.222894","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 207, returned sequence 219"
